Measures Filter,Date of Last Report ,Cumulative Incidence (c),Country or Subregion,Deaths,EW,Imported,Confirmed,Last_Report,Last Epidemiological Week Reported (a),Total Cases (b),Year,Population x 1000
,2/17/2018,,Guadeloupe,,8,,,2/17/2018,-,,2017,450
,12/31/2016,,Trinidad and Tobago,,8,,,12/31/2016,-,,2017,1369
,2/17/2018,,Martinique,,8,,,2/17/2018,-,,2017,385
,4/4/2020,,Venezuela,,8,,,4/4/2020,-,,2017,31977
,12/30/2017,,Cuba,,8,,,12/30/2017,-,,2017,11485
,12/31/2016,,Antigua and Barbuda,,8,,,12/31/2016,-,,2017,95
122,12/30/2017,0.28,Argentina,,9,,60,12/30/2017,9,122,2017,44271
18,12/30/2017,6.16,Barbados,,9,,2,12/30/2017,9,18,2017,292
705,12/30/2017,1.44,Colombia,,9,,3,12/30/2017,9,705,2017,49066
0,12/30/2017,0,Canada,0,9,0,,12/30/2017,9,0,2017,0
574,12/30/2017,11.7,Costa Rica,,9,,574,12/30/2017,9,574,2017,4906
99,12/30/2017,3.43,Jamaica,,9,,0,12/30/2017,9,99,2017,2890
113,12/30/2017,1.22,Honduras,,9,,4,12/30/2017,9,113,2017,9265
5,12/30/2017,4.46,Grenada,,9,,5,12/30/2017,9,5,2017,112
0,12/30/2017,0,Dominica,,9,,0,12/30/2017,9,0,2017,74
213,12/30/2017,1.26,Guatemala,,9,,53,12/30/2017,9,213,2017,16914
6,12/30/2017,0.06,Dominican Republic,,9,,0,12/30/2017,9,6,2017,10767
612,12/30/2017,3.68,Ecuador,,9,,413,12/30/2017,9,612,2017,16625
0,12/30/2017,0,Virgin Islands (UK),,9,,0,12/30/2017,9,0,2017,35
9,12/30/2017,15.52,Cayman Islands,,9,,0,12/30/2017,9,9,2017,58
9014,12/30/2017,4.31,Brazil,,9,,"3,147",12/30/2017,9,"9,014",2017,209288
483,12/30/2017,128.8,Belize,,9,,114,12/30/2017,9,483,2017,375
27,12/30/2017,6.84,Bahamas,,9,,0,12/30/2017,9,27,2017,395
562,12/30/2017,5.09,Bolivia,0,9,,316,12/30/2017,9,562,2017,11052
110,12/30/2017,0.09,Mexico,,9,,110,12/30/2017,9,110,2017,129163
2,12/30/2017,40,Montserrat,,9,,0,12/30/2017,9,2,2017,5
337,12/30/2017,224.67,Curaçao,,9,,126,12/30/2017,9,337,2017,150
467,12/30/2017,406.09,Aruba,,9,,378,12/30/2017,9,467,2017,115
203,12/30/2017,3.26,Nicaragua,,9,,,12/30/2017,9,203,2017,6218
1027,12/30/2017,25.05,Panama,,9,,121,12/30/2017,9,"1,027",2017,4099
45,12/30/2017,0.66,Paraguay,,9,,0,12/30/2017,9,45,2017,6811
1074,12/30/2017,3.34,Peru,,9,,155,12/30/2017,9,"1,074",2017,32165
0,12/30/2017,0,Saint Kitts and Nevis,,9,,0,12/30/2017,9,0,2017,53
9,12/30/2017,52.94,Anguilla,,9,,4,12/30/2017,9,9,2017,17
0,12/30/2017,0,Saint Lucia,0,9,,0,12/30/2017,9,0,2017,165
8,12/30/2017,1.42,Suriname,,9,,1,12/30/2017,9,8,2017,563
19,12/30/2017,35.85,Turks and Caicos Islands,,9,,1,12/30/2017,9,19,2017,53
0,10/7/2017,0,Uruguay,0,9,0,,10/7/2017,9,0,2017,3457
,2/24/2018,,French Guiana,,9,,,2/24/2018,-,,2017,283
,4/11/2020,,El Salvador,,9,,,4/11/2020,-,,2017,6378
,12/30/2017,,United States of America,,9,,,12/30/2017,-,,2017,324460
,2/17/2018,,Guadeloupe,,9,,,2/17/2018,-,,2017,450
,12/31/2016,,Trinidad and Tobago,,9,,,12/31/2016,-,,2017,1369
,2/17/2018,,Martinique,,9,,,2/17/2018,-,,2017,385
,4/4/2020,,Venezuela,,9,,,4/4/2020,-,,2017,31977
,12/30/2017,,Cuba,,9,,,12/30/2017,-,,2017,11485
,12/31/2016,,Antigua and Barbuda,,9,,,12/31/2016,-,,2017,95
18,12/30/2017,6.16,Barbados,,10,,2,12/30/2017,10,18,2017,292
9,12/30/2017,15.52,Cayman Islands,,10,,0,12/30/2017,10,9,2017,58
705,12/30/2017,1.44,Colombia,,10,,3,12/30/2017,10,705,2017,49066
122,12/30/2017,0.28,Argentina,,10,,60,12/30/2017,10,122,2017,44271
0,12/30/2017,0,Canada,0,10,0,,12/30/2017,10,0,2017,0
99,12/30/2017,3.43,Jamaica,,10,,0,12/30/2017,10,99,2017,2890
113,12/30/2017,1.22,Honduras,,10,,4,12/30/2017,10,113,2017,9265
5,12/30/2017,4.46,Grenada,,10,,5,12/30/2017,10,5,2017,112
0,12/30/2017,0,Dominica,,10,,0,12/30/2017,10,0,2017,74
235,12/30/2017,1.39,Guatemala,,10,,59,12/30/2017,10,235,2017,16914
6,12/30/2017,0.06,Dominican Republic,,10,,0,12/30/2017,10,6,2017,10767
612,12/30/2017,3.68,Ecuador,,10,,413,12/30/2017,10,612,2017,16625
615,12/30/2017,12.54,Costa Rica,,10,,615,12/30/2017,10,615,2017,4906
0,12/30/2017,0,Virgin Islands (UK),,10,,0,12/30/2017,10,0,2017,35
10172,12/30/2017,4.86,Brazil,,10,,"3,576",12/30/2017,10,"10,172",2017,209288
483,12/30/2017,128.8,Belize,,10,,114,12/30/2017,10,483,2017,375
27,12/30/2017,6.84,Bahamas,,10,,0,12/30/2017,10,27,2017,395
661,12/30/2017,5.98,Bolivia,0,10,,367,12/30/2017,10,661,2017,11052
110,12/30/2017,0.09,Mexico,,10,,110,12/30/2017,10,110,2017,129163
2,12/30/2017,40,Montserrat,,10,,0,12/30/2017,10,2,2017,5
337,12/30/2017,224.67,Curaçao,,10,,126,12/30/2017,10,337,2017,150
467,12/30/2017,406.09,Aruba,,10,,378,12/30/2017,10,467,2017,115
219,12/30/2017,3.52,Nicaragua,,10,,,12/30/2017,10,219,2017,6218
1027,12/30/2017,25.05,Panama,,10,,121,12/30/2017,10,"1,027",2017,4099
45,12/30/2017,0.66,Paraguay,,10,,0,12/30/2017,10,45,2017,6811
1074,12/30/2017,3.34,Peru,,10,,155,12/30/2017,10,"1,074",2017,32165
0,12/30/2017,0,Saint Kitts and Nevis,,10,,0,12/30/2017,10,0,2017,53
9,12/30/2017,52.94,Anguilla,,10,,4,12/30/2017,10,9,2017,17
0,12/30/2017,0,Saint Lucia,0,10,,0,12/30/2017,10,0,2017,165
8,12/30/2017,1.42,Suriname,,10,,1,12/30/2017,10,8,2017,563
19,12/30/2017,35.85,Turks and Caicos Islands,,10,,1,12/30/2017,10,19,2017,53
0,10/7/2017,0,Uruguay,0,10,0,,10/7/2017,10,0,2017,3457
,2/24/2018,,French Guiana,,10,,,2/24/2018,-,,2017,283
,4/11/2020,,El Salvador,,10,,,4/11/2020,-,,2017,6378
,12/30/2017,,United States of America,,10,,,12/30/2017,-,,2017,324460
,2/17/2018,,Guadeloupe,,10,,,2/17/2018,-,,2017,450
,12/31/2016,,Trinidad and Tobago,,10,,,12/31/2016,-,,2017,1369
,2/17/2018,,Martinique,,10,,,2/17/2018,-,,2017,385
,4/4/2020,,Venezuela,,10,,,4/4/2020,-,,2017,31977
,12/30/2017,,Cuba,,10,,,12/30/2017,-,,2017,11485
,12/31/2016,,Antigua and Barbuda,,10,,,12/31/2016,-,,2017,95
19,12/30/2017,6.51,Barbados,,11,,2,12/30/2017,11,19,2017,292
11,12/30/2017,18.97,Cayman Islands,,11,,0,12/30/2017,11,11,2017,58
755,12/30/2017,1.54,Colombia,,11,,3,12/30/2017,11,755,2017,49066
181,12/30/2017,0.41,Argentina,,11,,87,12/30/2017,11,181,2017,44271
0,12/30/2017,0,Canada,0,11,0,,12/30/2017,11,0,2017,0
109,12/30/2017,3.77,Jamaica,,11,,0,12/30/2017,11,109,2017,2890
120,12/30/2017,1.3,Honduras,,11,,4,12/30/2017,11,120,2017,9265
7,12/30/2017,6.25,Grenada,,11,,6,12/30/2017,11,7,2017,112
0,12/30/2017,0,Dominica,,11,,0,12/30/2017,11,0,2017,74
8,12/30/2017,0.07,Dominican Republic,,11,,0,12/30/2017,11,8,2017,10767
750,12/30/2017,4.51,Ecuador,,11,,517,12/30/2017,11,750,2017,16625
248,12/30/2017,1.47,Guatemala,,11,,60,12/30/2017,11,248,2017,16914
656,12/30/2017,13.37,Costa Rica,,11,,656,12/30/2017,11,656,2017,4906
0,12/30/2017,0,Virgin Islands (UK),,11,,0,12/30/2017,11,0,2017,35
11423,12/30/2017,5.46,Brazil,,11,,"4,025",12/30/2017,11,"11,423",2017,209288
524,12/30/2017,139.73,Belize,,11,,116,12/30/2017,11,524,2017,375
31,12/30/2017,7.85,Bahamas,,11,,0,12/30/2017,11,31,2017,395
758,12/30/2017,6.86,Bolivia,0,11,,418,12/30/2017,11,758,2017,11052
117,12/30/2017,0.09,Mexico,,11,,117,12/30/2017,11,117,2017,129163
2,12/30/2017,40,Montserrat,,11,,0,12/30/2017,11,2,2017,5
350,12/30/2017,233.33,Curaçao,,11,,129,12/30/2017,11,350,2017,150
522,12/30/2017,453.91,Aruba,,11,,433,12/30/2017,11,522,2017,115
235,12/30/2017,3.78,Nicaragua,,11,,,12/30/2017,11,235,2017,6218
1070,12/30/2017,26.1,Panama,,11,,128,12/30/2017,11,"1,070",2017,4099
50,12/30/2017,0.73,Paraguay,,11,,1,12/30/2017,11,50,2017,6811
1135,12/30/2017,3.53,Peru,,11,,161,12/30/2017,11,"1,135",2017,32165
0,12/30/2017,0,Saint Kitts and Nevis,,11,,0,12/30/2017,11,0,2017,53
9,12/30/2017,52.94,Anguilla,,11,,4,12/30/2017,11,9,2017,17
0,12/30/2017,0,Saint Lucia,0,11,,0,12/30/2017,11,0,2017,165
9,12/30/2017,1.6,Suriname,,11,,1,12/30/2017,11,9,2017,563
21,12/30/2017,39.62,Turks and Caicos Islands,,11,,1,12/30/2017,11,21,2017,53
0,10/7/2017,0,Uruguay,0,11,0,,10/7/2017,11,0,2017,3457
,2/24/2018,,French Guiana,,11,,,2/24/2018,-,,2017,283
,4/11/2020,,El Salvador,,11,,,4/11/2020,-,,2017,6378
,12/30/2017,,United States of America,,11,,,12/30/2017,-,,2017,324460
,2/17/2018,,Guadeloupe,,11,,,2/17/2018,-,,2017,450
,12/31/2016,,Trinidad and Tobago,,11,,,12/31/2016,-,,2017,1369
,2/17/2018,,Martinique,,11,,,2/17/2018,-,,2017,385
,4/4/2020,,Venezuela,,11,,,4/4/2020,-,,2017,31977
,12/30/2017,,Cuba,,11,,,12/30/2017,-,,2017,11485
,12/31/2016,,Antigua and Barbuda,,11,,,12/31/2016,-,,2017,95
21,12/30/2017,7.19,Barbados,,12,,2,12/30/2017,12,21,2017,292
11,12/30/2017,18.97,Cayman Islands,,12,,0,12/30/2017,12,11,2017,58
798,12/30/2017,1.63,Colombia,,12,,3,12/30/2017,12,798,2017,49066
225,12/30/2017,0.51,Argentina,,12,,113,12/30/2017,12,225,2017,44271
0,12/30/2017,0,Canada,0,12,0,,12/30/2017,12,0,2017,0
115,12/30/2017,3.98,Jamaica,,12,,0,12/30/2017,12,115,2017,2890
120,12/30/2017,1.3,Honduras,,12,,4,12/30/2017,12,120,2017,9265
7,12/30/2017,6.25,Grenada,,12,,6,12/30/2017,12,7,2017,112
0,12/30/2017,0,Dominica,,12,,0,12/30/2017,12,0,2017,74
9,12/30/2017,0.08,Dominican Republic,,12,,0,12/30/2017,12,9,2017,10767
873,12/30/2017,5.25,Ecuador,,12,,608,12/30/2017,12,873,2017,16625
257,12/30/2017,1.52,Guatemala,,12,,63,12/30/2017,12,257,2017,16914
687,12/30/2017,14,Costa Rica,,12,,687,12/30/2017,12,687,2017,4906
0,12/30/2017,0,Virgin Islands (UK),,12,,0,12/30/2017,12,0,2017,35
12675,12/30/2017,6.06,Brazil,,12,,"4,471",12/30/2017,12,"12,675",2017,209288
577,12/30/2017,153.87,Belize,,12,,120,12/30/2017,12,577,2017,375
38,12/30/2017,9.62,Bahamas,,12,,0,12/30/2017,12,38,2017,395
837,12/30/2017,7.57,Bolivia,0,12,,445,12/30/2017,12,837,2017,11052
126,12/30/2017,0.1,Mexico,,12,,126,12/30/2017,12,126,2017,129163
2,12/30/2017,40,Montserrat,,12,,0,12/30/2017,12,2,2017,5
363,12/30/2017,242,Curaçao,,12,,130,12/30/2017,12,363,2017,150
572,12/30/2017,497.39,Aruba,,12,,483,12/30/2017,12,572,2017,115
255,12/30/2017,4.1,Nicaragua,,12,,,12/30/2017,12,255,2017,6218
1111,12/30/2017,27.1,Panama,,12,,142,12/30/2017,12,"1,111",2017,4099
56,12/30/2017,0.82,Paraguay,,12,,1,12/30/2017,12,56,2017,6811
1246,12/30/2017,3.87,Peru,,12,,184,12/30/2017,12,"1,246",2017,32165
1,12/30/2017,1.89,Saint Kitts and Nevis,,12,,0,12/30/2017,12,1,2017,53
9,12/30/2017,52.94,Anguilla,,12,,4,12/30/2017,12,9,2017,17
0,12/30/2017,0,Saint Lucia,0,12,,0,12/30/2017,12,0,2017,165
9,12/30/2017,1.6,Suriname,,12,,1,12/30/2017,12,9,2017,563
21,12/30/2017,39.62,Turks and Caicos Islands,,12,,1,12/30/2017,12,21,2017,53
0,10/7/2017,0,Uruguay,0,12,0,,10/7/2017,12,0,2017,3457
,2/24/2018,,French Guiana,,12,,,2/24/2018,-,,2017,283
,4/11/2020,,El Salvador,,12,,,4/11/2020,-,,2017,6378
,12/30/2017,,United States of America,,12,,,12/30/2017,-,,2017,324460
,2/17/2018,,Guadeloupe,,12,,,2/17/2018,-,,2017,450
,12/31/2016,,Trinidad and Tobago,,12,,,12/31/2016,-,,2017,1369
,2/17/2018,,Martinique,,12,,,2/17/2018,-,,2017,385
,4/4/2020,,Venezuela,,12,,,4/4/2020,-,,2017,31977
,12/30/2017,,Cuba,,12,,,12/30/2017,-,,2017,11485
,12/31/2016,,Antigua and Barbuda,,12,,,12/31/2016,-,,2017,95
25,12/30/2017,8.56,Barbados,,13,,2,12/30/2017,13,25,2017,292
11,12/30/2017,18.97,Cayman Islands,,13,,0,12/30/2017,13,11,2017,58
272,12/30/2017,0.61,Argentina,,13,,137,12/30/2017,13,272,2017,44271
0,12/30/2017,0,Canada,0,13,0,,12/30/2017,13,0,2017,0
857,12/30/2017,1.75,Colombia,,13,,3,12/30/2017,13,857,2017,49066
121,12/30/2017,4.19,Jamaica,,13,,0,12/30/2017,13,121,2017,2890
266,12/30/2017,1.57,Guatemala,,13,,66,12/30/2017,13,266,2017,16914
120,12/30/2017,1.3,Honduras,,13,,4,12/30/2017,13,120,2017,9265
7,12/30/2017,6.25,Grenada,,13,,6,12/30/2017,13,7,2017,112
0,12/30/2017,0,Dominica,,13,,0,12/30/2017,13,0,2017,74
9,12/30/2017,0.08,Dominican Republic,,13,,0,12/30/2017,13,9,2017,10767
996,12/30/2017,5.99,Ecuador,,13,,697,12/30/2017,13,996,2017,16625
714,12/30/2017,14.55,Costa Rica,,13,,714,12/30/2017,13,714,2017,4906
0,12/30/2017,0,Virgin Islands (UK),,13,,0,12/30/2017,13,0,2017,35
13927,12/30/2017,6.65,Brazil,,13,,"4,927",12/30/2017,13,"13,927",2017,209288
607,12/30/2017,161.87,Belize,,13,,123,12/30/2017,13,607,2017,375
43,12/30/2017,10.89,Bahamas,,13,,0,12/30/2017,13,43,2017,395
952,12/30/2017,8.61,Bolivia,0,13,,467,12/30/2017,13,952,2017,11052
372,12/30/2017,248,Curaçao,,13,,132,12/30/2017,13,372,2017,150
135,12/30/2017,0.1,Mexico,,13,,135,12/30/2017,13,135,2017,129163
2,12/30/2017,40,Montserrat,,13,,0,12/30/2017,13,2,2017,5
611,12/30/2017,531.3,Aruba,,13,,522,12/30/2017,13,611,2017,115
267,12/30/2017,4.29,Nicaragua,,13,,4,12/30/2017,13,267,2017,6218
1141,12/30/2017,27.84,Panama,,13,,148,12/30/2017,13,"1,141",2017,4099
58,12/30/2017,0.85,Paraguay,,13,,1,12/30/2017,13,58,2017,6811
1648,12/30/2017,5.12,Peru,,13,,224,12/30/2017,13,"1,648",2017,32165
1,12/30/2017,1.89,Saint Kitts and Nevis,,13,,0,12/30/2017,13,1,2017,53
10,12/30/2017,58.82,Anguilla,,13,,4,12/30/2017,13,10,2017,17
0,12/30/2017,0,Saint Lucia,0,13,,0,12/30/2017,13,0,2017,165
9,12/30/2017,1.6,Suriname,,13,,1,12/30/2017,13,9,2017,563
24,12/30/2017,45.28,Turks and Caicos Islands,,13,,1,12/30/2017,13,24,2017,53
0,10/7/2017,0,Uruguay,0,13,0,,10/7/2017,13,0,2017,3457
,2/24/2018,,French Guiana,,13,,,2/24/2018,-,,2017,283
,4/11/2020,,El Salvador,,13,,,4/11/2020,-,,2017,6378
,12/30/2017,,United States of America,,13,,,12/30/2017,-,,2017,324460
,2/17/2018,,Guadeloupe,,13,,,2/17/2018,-,,2017,450
,12/31/2016,,Trinidad and Tobago,,13,,,12/31/2016,-,,2017,1369
,2/17/2018,,Martinique,,13,,,2/17/2018,-,,2017,385
,4/4/2020,,Venezuela,,13,,,4/4/2020,-,,2017,31977
,12/30/2017,,Cuba,,13,,,12/30/2017,-,,2017,11485
,12/31/2016,,Antigua and Barbuda,,13,,,12/31/2016,-,,2017,95
25,12/30/2017,8.56,Barbados,,14,,2,12/30/2017,14,25,2017,292
12,12/30/2017,20.69,Cayman Islands,,14,,0,12/30/2017,14,12,2017,58
374,12/30/2017,0.84,Argentina,,14,,165,12/30/2017,14,374,2017,44271
0,12/30/2017,0,Canada,0,14,0,,12/30/2017,14,0,2017,0
906,12/30/2017,1.85,Colombia,,14,,3,12/30/2017,14,906,2017,49066
130,12/30/2017,4.5,Jamaica,,14,,0,12/30/2017,14,130,2017,2890
275,12/30/2017,1.63,Guatemala,,14,,67,12/30/2017,14,275,2017,16914
120,12/30/2017,1.3,Honduras,,14,,4,12/30/2017,14,120,2017,9265
7,12/30/2017,6.25,Grenada,,14,,6,12/30/2017,14,7,2017,112
0,12/30/2017,0,Dominica,,14,,0,12/30/2017,14,0,2017,74
9,12/30/2017,0.08,Dominican Republic,,14,,0,12/30/2017,14,9,2017,10767
1149,12/30/2017,6.91,Ecuador,,14,,811,12/30/2017,14,"1,149",2017,16625
745,12/30/2017,15.19,Costa Rica,,14,,745,12/30/2017,14,745,2017,4906
0,12/30/2017,0,Virgin Islands (UK),,14,,0,12/30/2017,14,0,2017,35
15113,12/30/2017,7.22,Brazil,,14,,"5,324",12/30/2017,14,"15,113",2017,209288
636,12/30/2017,169.6,Belize,,14,,126,12/30/2017,14,636,2017,375
47,12/30/2017,11.9,Bahamas,,14,,0,12/30/2017,14,47,2017,395
1052,12/30/2017,9.52,Bolivia,0,14,,488,12/30/2017,14,"1,052",2017,11052
378,12/30/2017,252,Curaçao,,14,,133,12/30/2017,14,378,2017,150
142,12/30/2017,0.11,Mexico,,14,,142,12/30/2017,14,142,2017,129163
2,12/30/2017,40,Montserrat,,14,,0,12/30/2017,14,2,2017,5
644,12/30/2017,560,Aruba,,14,,555,12/30/2017,14,644,2017,115
285,12/30/2017,4.58,Nicaragua,,14,,,12/30/2017,14,285,2017,6218
1183,12/30/2017,28.86,Panama,,14,,154,12/30/2017,14,"1,183",2017,4099
62,12/30/2017,0.91,Paraguay,,14,,1,12/30/2017,14,62,2017,6811
2484,12/30/2017,7.72,Peru,,14,,280,12/30/2017,14,"2,484",2017,32165
1,12/30/2017,1.89,Saint Kitts and Nevis,,14,,0,12/30/2017,14,1,2017,53
10,12/30/2017,58.82,Anguilla,,14,,4,12/30/2017,14,10,2017,17
0,12/30/2017,0,Saint Lucia,0,14,,0,12/30/2017,14,0,2017,165
9,12/30/2017,1.6,Suriname,,14,,1,12/30/2017,14,9,2017,563
25,12/30/2017,47.17,Turks and Caicos Islands,,14,,1,12/30/2017,14,25,2017,53
0,10/7/2017,0,Uruguay,0,14,0,,10/7/2017,14,0,2017,3457
,2/24/2018,,French Guiana,,14,,,2/24/2018,-,,2017,283
,4/11/2020,,El Salvador,,14,,,4/11/2020,-,,2017,6378
,12/30/2017,,United States of America,,14,,,12/30/2017,-,,2017,324460
,2/17/2018,,Guadeloupe,,14,,,2/17/2018,-,,2017,450
,12/31/2016,,Trinidad and Tobago,,14,,,12/31/2016,-,,2017,1369
,2/17/2018,,Martinique,,14,,,2/17/2018,-,,2017,385
,4/4/2020,,Venezuela,,14,,,4/4/2020,-,,2017,31977
,12/30/2017,,Cuba,,14,,,12/30/2017,-,,2017,11485
,12/31/2016,,Antigua and Barbuda,,14,,,12/31/2016,-,,2017,95
25,12/30/2017,8.56,Barbados,,15,,2,12/30/2017,15,25,2017,292
12,12/30/2017,20.69,Cayman Islands,,15,,0,12/30/2017,15,12,2017,58
456,12/30/2017,1.03,Argentina,,15,,194,12/30/2017,15,456,2017,44271
951,12/30/2017,1.94,Colombia,,15,,3,12/30/2017,15,951,2017,49066
139,12/30/2017,4.81,Jamaica,,15,,0,12/30/2017,15,139,2017,2890
283,12/30/2017,1.67,Guatemala,,15,,70,12/30/2017,15,283,2017,16914
120,12/30/2017,1.3,Honduras,,15,,4,12/30/2017,15,120,2017,9265
7,12/30/2017,6.25,Grenada,,15,,6,12/30/2017,15,7,2017,112
0,12/30/2017,0,Dominica,,15,,0,12/30/2017,15,0,2017,74
9,12/30/2017,0.08,Dominican Republic,,15,,0,12/30/2017,15,9,2017,10767
1282,12/30/2017,7.71,Ecuador,,15,,901,12/30/2017,15,"1,282",2017,16625
